rr_additive_index,percent_muslim_arda,kosovo_recognition_dummy,belgrad_distance,dem2007,gdppc2007,regnum,ethnic_diversity_alesina,usfdigdp19901999_modified,NATO2007,percent_albanian,socialism,Griffiths,distance1000,percent_muslim25
7.3,0.73,0,6880,0,420.169,6,0.3874,0.01442156,1,0.00E+00,0,0,6.88,0.0292
4.9,1.57,0,2035,1,27136.1,4,0.4165,0.01349081,2,3.89E-03,0,1,2.035,0.0628
5.595522,28.8396,0,5132.1,0.8109453,5986.609,6,0.4898473,0.220169271,1,0.00E+00,0,0,5.1321,1.1535841
16.9,71.35,0,3425,0,775.987,6,0.7147,0.00045175,1,0.00E+00,0,1,3.425,2.8539999
0.4,15.87,0,8409,1,3835.31,3,0.7332,0.091824368,1,0.00E+00,0,0,8.409,0.6348
2.1,0.65,1,7867,0,2434.36,6,0.0582,0.015113483,1,0.00E+00,0,0,7.867,0.026
2.7,2.81,1,1670,1,43650,4,0.06,0.01482302,1,5.33E-01,0,0,1.67,0.1124
5.1,4.29,1,1056,1,54897.801,4,0.5314,0.094742879,1,2.77E+00,0,0,1.056,0.1716
14.4,5.2,0,1837,0,1637.36,7,0.5399,0.0114697,1,0.00E+00,1,0,1.837,0.208
9,86.43,0,4045,1,375.771,7,0.5107,0.241447761,1,0.00E+00,0,0,4.045,3.4572
7.1,6.43,0,8201,0,2946.3,10,0.6338,0.030553849,1,0.00E+00,0,1,8.201,0.2572
0.3,19.36,0,4630,0,385.836,6,0.7099,0.0039938,1,0.00E+00,0,0,4.63,0.7744
0.7,0,0,5933.726,0,2441.85,11,0.0869,0.020635143,1,0.00E+00,0,0,5.933726,0
1.7,7.18,0,8530,1,14632.9,2,0.6475,0.083092406,1,0.00E+00,0,0,8.53,0.2872
9.4,76.2,1,3799,0,35341.699,7,0.6252,0.00476667,1,0.00E+00,0,0,3.799,3.0479999
13.6,99.52,0,1247,0,3537.17,7,0.0394,0.0038868,1,0.00E+00,0,0,1.247,3.9807999
13.5,97.41,1,1163,1,7775.59,7,0.32,0.00293649,2,7.02E-01,0,1,1.163,3.8964001
13.3,88.44,0,3255,0,2055.8,5,0.3918,-0.00078188,1,0.00E+00,0,0,3.255,3.5376001
8.1,0.1,1,4059.634,1,2429.67,11,0.1629,0.041666701,1,0.00E+00,0,0,4.059634,0.004
6.9,10.69,1,5037,0,352.309,6,0.9302,0.002156,1,0.00E+00,0,1,5.037,0.4276
